大分類コード,中分類コード,小分類コード,細分類コード,項目名
A,00,000,0000,農業，林業
A,01,000,0000,農業
A,01,010,0000,管理，補助的経済活動を行う事業所（01農業）
A,01,010,0100,主として管理事務を行う本社等
A,01,010,0109,その他の管理，補助的経済活動を行う事業所
A,01,011,0000,耕種農業
A,01,011,0111,米作農業
A,01,011,0112,米作以外の穀作農業
A,01,011,0113,野菜作農業（きのこ類の栽培を含む）
A,01,011,0114,果樹作農業
A,01,011,0115,花き作農業
A,01,011,0116,工芸農作物農業
A,01,011,0117,ばれいしょ・かんしょ作農業
A,01,011,0119,その他の耕種農業
A,01,012,0000,畜産農業
A,01,012,0121,酪農業
A,01,012,0122,肉用牛生産業
A,01,012,0123,養豚業
A,01,012,0124,養鶏業
A,01,012,0125,畜産類似業
A,01,012,0126,養蚕農業
A,01,012,0129,その他の畜産農業
A,01,013,0000,農業サービス業（園芸サービス業を除く）
A,01,013,0131,穀作サービス業
A,01,013,0132,野菜作・果樹作サービス業
A,01,013,0133,穀作，野菜作・果樹作以外の耕種サービス業
A,01,013,0134,畜産サービス業（獣医業を除く）
A,01,014,0000,園芸サービス業
A,01,014,0141,園芸サービス業
A,02,000,0000,林業
A,02,020,0000,管理，補助的経済活動を行う事業所（02林業）
A,02,020,0200,主として管理事務を行う本社等
A,02,020,0209,その他の管理，補助的経済活動を行う事業所
A,02,021,0000,育林業
A,02,021,0211,育林業
A,02,022,0000,素材生産業
A,02,022,0221,素材生産業
A,02,023,0000,特用林産物生産業（きのこ類の栽培を除く）
A,02,023,0231,製薪炭業
A,02,023,0239,その他の特用林産物生産業（きのこ類の栽培を除く）
A,02,024,0000,林業サービス業
A,02,024,0241,育林サービス業
A,02,024,0242,素材生産サービス業
A,02,024,0243,山林種苗生産サービス業
A,02,024,0249,その他の林業サービス業
A,02,029,0000,その他の林業
A,02,029,0299,その他の林業
B,00,000,0000,漁業
B,03,000,0000,漁業（水産養殖業を除く）
B,03,030,0000,管理，補助的経済活動を行う事業所（03漁業）
B,03,030,0300,主として管理事務を行う本社等
B,03,030,0309,その他の管理，補助的経済活動を行う事業所
B,03,031,0000,海面漁業
B,03,031,0311,底びき網漁業
B,03,031,0312,まき網漁業
B,03,031,0313,刺網漁業
B,03,031,0314,釣・はえ縄漁業
B,03,031,0315,定置網漁業
B,03,031,0316,地びき網・船びき網漁業
B,03,031,0317,採貝・採藻業
B,03,031,0318,捕鯨業
B,03,031,0319,その他の海面漁業
B,03,032,0000,内水面漁業
B,03,032,0321,内水面漁業
B,04,000,0000,水産養殖業
B,04,040,0000,管理，補助的経済活動を行う事業所（04水産養殖業）
B,04,040,0400,主として管理事務を行う本社等
B,04,040,0409,その他の管理，補助的経済活動を行う事業所
B,04,041,0000,海面養殖業
B,04,041,0411,魚類養殖業
B,04,041,0412,貝類養殖業
B,04,041,0413,藻類養殖業
B,04,041,0414,真珠養殖業
B,04,041,0415,種苗養殖業
B,04,041,0419,その他の海面養殖業
B,04,042,0000,内水面養殖業
B,04,042,0421,内水面養殖業
C,00,000,0000,鉱業，採石業，砂利採取業
C,05,000,0000,鉱業，採石業，砂利採取業
C,05,050,0000,管理，補助的経済活動を行う事業所（05鉱業，採石業，砂利採取業）
C,05,050,0500,主として管理事務を行う本社等
C,05,050,0509,その他の管理，補助的経済活動を行う事業所
C,05,051,0000,金属鉱業
C,05,051,0511,金・銀鉱業
C,05,051,0512,鉛・亜鉛鉱業
C,05,051,0513,鉄鉱業
C,05,051,0519,その他の金属鉱業
C,05,052,0000,石炭・亜炭鉱業
C,05,052,0521,石炭鉱業（石炭選別業を含む）
C,05,052,0522,亜炭鉱業
C,05,053,0000,原油・天然ガス鉱業
C,05,053,0531,原油鉱業
C,05,053,0532,天然ガス鉱業
C,05,054,0000,採石業，砂・砂利・玉石採取業
C,05,054,0541,花こう岩・同類似岩石採石業
C,05,054,0542,石英粗面岩・同類似岩石採石業
C,05,054,0543,安山岩・同類似岩石採石業
C,05,054,0544,大理石採石業
C,05,054,0545,ぎょう灰岩採石業
C,05,054,0546,砂岩採石業
C,05,054,0547,粘板岩採石業
C,05,054,0548,砂・砂利・玉石採取業
C,05,054,0549,その他の採石業，砂・砂利・玉石採取業
C,05,055,0000,窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）
C,05,055,0551,耐火粘土鉱業
C,05,055,0552,ろう石鉱業
C,05,055,0553,ドロマイト鉱業
C,05,055,0554,長石鉱業
C,05,055,0555,けい石鉱業
C,05,055,0556,天然けい砂鉱業
C,05,055,0557,石灰石鉱業
C,05,055,0559,その他の窯業原料用鉱物鉱業
C,05,059,0000,その他の鉱業
C,05,059,0591,酸性白土鉱業
C,05,059,0592,ベントナイト鉱業
C,05,059,0593,けいそう土鉱業
C,05,059,0594,滑石鉱業
C,05,059,0599,他に分類されない鉱業
D,00,000,0000,建設業
D,06,000,0000,総合工事業
D,06,060,0000,管理，補助的経済活動を行う事業所（06総合工事業）
D,06,060,0600,主として管理事務を行う本社等
D,06,060,0609,その他の管理，補助的経済活動を行う事業所
D,06,061,0000,一般土木建築工事業
D,06,061,0611,一般土木建築工事業
D,06,062,0000,土木工事業（舗装工事業を除く）
D,06,062,0621,土木工事業(別掲を除く)
D,06,062,0622,造園工事業
D,06,062,0623,しゅんせつ工事業
D,06,063,0000,舗装工事業
D,06,063,0631,舗装工事業
D,06,064,0000,建築工事業(木造建築工事業を除く)
D,06,064,0641,建築工事業(木造建築工事業を除く)
D,06,065,0000,木造建築工事業
D,06,065,0651,木造建築工事業
