code,jsic_group_code,name
"0100","010","主として管理事務を行う本社等"
"0109","010","その他の管理，補助的経済活動を行う事業所"
"0111","011","米作農業"
"0112","011","米作以外の穀作農業"
"0113","011","野菜作農業（きのこ類の栽培を含む）"
"0114","011","果樹作農業"
"0115","011","花き作農業"
"0116","011","工芸農作物農業"
"0117","011","ばれいしょ・かんしょ作農業"
"0119","011","その他の耕種農業"
"0121","012","酪農業"
"0122","012","肉用牛生産業"
"0123","012","養豚業"
"0124","012","養鶏業"
"0125","012","畜産類似業"
"0126","012","養蚕農業"
"0129","012","その他の畜産農業"
"0131","013","穀作サービス業"
"0132","013","野菜作・果樹作サービス業"
"0133","013","穀作，野菜作・果樹作以外の耕種サービス業"
"0134","013","畜産サービス業（獣医業を除く）"
"0141","014","園芸サービス業"
"0200","020","主として管理事務を行う本社等"
"0209","020","その他の管理，補助的経済活動を行う事業所"
"0211","021","育林業"
"0221","022","素材生産業"
"0231","023","製薪炭業"
"0239","023","その他の特用林産物生産業（きのこ類の栽培を除く）"
"0241","024","育林サービス業"
"0242","024","素材生産サービス業"
"0243","024","山林種苗生産サービス業"
"0249","024","その他の林業サービス業"
"0299","029","その他の林業"
"0300","030","主として管理事務を行う本社等"
"0309","030","その他の管理，補助的経済活動を行う事業所"
"0311","031","底びき網漁業"
"0312","031","まき網漁業"
"0313","031","刺網漁業"
"0314","031","釣・はえ縄漁業"
"0315","031","定置網漁業"
"0316","031","地びき網・船びき網漁業"
"0317","031","採貝・採藻業"
"0318","031","捕鯨業"
"0319","031","その他の海面漁業"
"0321","032","内水面漁業"
"0400","040","主として管理事務を行う本社等"
"0409","040","その他の管理，補助的経済活動を行う事業所"
"0411","041","魚類養殖業"
"0412","041","貝類養殖業"
"0413","041","藻類養殖業"
"0414","041","真珠養殖業"
"0415","041","種苗養殖業"
"0419","041","その他の海面養殖業"
"0421","042","内水面養殖業"
"0500","050","主として管理事務を行う本社等"
"0509","050","その他の管理，補助的経済活動を行う事業所"
"0511","051","金・銀鉱業"
"0512","051","鉛・亜鉛鉱業"
"0513","051","鉄鉱業"
"0519","051","その他の金属鉱業"
"0521","052","石炭鉱業（石炭選別業を含む）"
"0522","052","亜炭鉱業"
"0531","053","原油鉱業"
"0532","053","天然ガス鉱業"
"0541","054","花こう岩・同類似岩石採石業"
"0542","054","石英粗面岩・同類似岩石採石業"
"0543","054","安山岩・同類似岩石採石業"
"0544","054","大理石採石業"
"0545","054","ぎょう灰岩採石業"
"0546","054","砂岩採石業"
"0547","054","粘板岩採石業"
"0548","054","砂・砂利・玉石採取業"
"0549","054","その他の採石業，砂・砂利・玉石採取業"
"0551","055","耐火粘土鉱業"
"0552","055","ろう石鉱業"
"0553","055","ドロマイト鉱業"
"0554","055","長石鉱業"
"0555","055","けい石鉱業"
"0556","055","天然けい砂鉱業"
"0557","055","石灰石鉱業"
"0559","055","その他の窯業原料用鉱物鉱業"
"0591","059","酸性白土鉱業"
"0592","059","ベントナイト鉱業"
"0593","059","けいそう土鉱業"
"0594","059","滑石鉱業"
"0599","059","他に分類されない鉱業"
"0600","060","主として管理事務を行う本社等"
"0609","060","その他の管理，補助的経済活動を行う事業所"
"0611","061","一般土木建築工事業"
"0621","062","土木工事業(別掲を除く)"
"0622","062","造園工事業"
"0623","062","しゅんせつ工事業"
"0631","063","舗装工事業"
"0641","064","建築工事業(木造建築工事業を除く)"
"0651","065","木造建築工事業"
"0661","066","建築リフォーム工事業"
"0700","070","主として管理事務を行う本社等"
"0709","070","その他の管理，補助的経済活動を行う事業所"
"0711","071","大工工事業(型枠大工工事業を除く)"
"0712","071","型枠大工工事業"
"0721","072","とび工事業"
"0722","072","土工・コンクリート工事業"
"0723","072","特殊コンクリート工事業"
"0731","073","鉄骨工事業"
"0732","073","鉄筋工事業"
"0741","074","石工工事業"
"0742","074","れんが工事業"
"0743","074","タイル工事業"
"0744","074","コンクリートブロック工事業"
"0751","075","左官工事業"
"0761","076","金属製屋根工事業"
"0762","076","板金工事業"
"0763","076","建築金物工事業"
"0771","077","塗装工事業（道路標示・区画線工事業を除く）"
"0772","077","道路標示・区画線工事業"
"0781","078","床工事業"
"0782","078","内装工事業"
"0791","079","ガラス工事業"
"0792","079","金属製建具工事業"
"0793","079","木製建具工事業"
"0794","079","屋根工事業（金属製屋根工事業を除く）"
"0795","079","防水工事業"
"0796","079","はつり・解体工事業"
"0799","079","他に分類されない職別工事業"
"0800","080","主として管理事務を行う本社等"
"0809","080","その他の管理，補助的経済活動を行う事業所"
"0811","081","一般電気工事業"
"0812","081","電気配線工事業"
"0821","082","電気通信工事業（有線テレビジョン放送設備設置工事業を除く）"
"0822","082","有線テレビジョン放送設備設置工事業"
"0823","082","信号装置工事業"
"0831","083","一般管工事業"
"0832","083","冷暖房設備工事業"
"0833","083","給排水・衛生設備工事業"
"0839","083","その他の管工事業"
"0841","084","機械器具設置工事業（昇降設備工事業を除く）"
"0842","084","昇降設備工事業"
"0891","089","築炉工事業"
"0892","089","熱絶縁工事業"
"0893","089","道路標識設置工事業"
"0894","089","さく井工事業"
"0900","090","主として管理事務を行う本社等"
"0909","090","その他の管理，補助的経済活動を行う事業所"
"0911","091","部分肉・冷凍肉製造業"
"0912","091","肉加工品製造業"
"0913","091","処理牛乳・乳飲料製造業"
"0914","091","乳製品製造業（処理牛乳，乳飲料を除く）"
"0919","091","その他の畜産食料品製造業"
"0921","092","水産缶詰・瓶詰製造業"
"0922","092","海藻加工業"
"0923","092","水産練製品製造業"
"0924","092","塩干・塩蔵品製造業"
"0925","092","冷凍水産物製造業"
"0926","092","冷凍水産食品製造業"
"0929","092","その他の水産食料品製造業"
"0931","093","野菜缶詰・果実缶詰・農産保存食料品製造業（野菜漬物を除く）"
"0932","093","野菜漬物製造業（缶詰，瓶詰，つぼ詰を除く）"
"0941","094","味そ製造業"
"0942","094","しょう油・食用アミノ酸製造業"
"0943","094","ソース製造業"
"0944","094","食酢製造業"
"0949","094","その他の調味料製造業"
"0951","095","砂糖製造業（砂糖精製業を除く）"
"0952","095","砂糖精製業"
"0953","095","ぶどう糖・水あめ・異性化糖製造業"
"0961","096","精米・精麦業"
"0962","096","小麦粉製造業"
"0969","096","その他の精穀・製粉業"
"0971","097","パン製造業"
"0972","097","生菓子製造業"
"0973","097","ビスケット類・干菓子製造業"
"0974","097","米菓製造業"
"0979","097","その他のパン・菓子製造業"
"0981","098","動植物油脂製造業（食用油脂加工業を除く）"
"0982","098","食用油脂加工業"
"0991","099","でんぷん製造業"
"0992","099","めん類製造業"
"0993","099","豆腐・油揚製造業"
"0994","099","あん類製造業"
"0995","099","冷凍調理食品製造業"
"0996","099","そう（惣）菜製造業"
"0997","099","すし・弁当・調理パン製造業"
"0998","099","レトルト食品製造業"
"0999","099","他に分類されない食料品製造業"
"1000","100","主として管理事務を行う本社等"
"1009","100","その他の管理，補助的経済活動を行う事業所"
"1011","101","清涼飲料製造業"
"1021","102","果実酒製造業"
"1022","102","ビール類製造業"
"1023","102","清酒製造業"
"1024","102","蒸留酒・混成酒製造業"
"1031","103","製茶業"
"1032","103","コーヒー製造業"
"1041","104","製氷業"
"1051","105","たばこ製造業（葉たばこ処理業を除く)"
"1052","105","葉たばこ処理業"
"1061","106","配合飼料製造業"
"1062","106","単体飼料製造業"
"1063","106","有機質肥料製造業"
"1100","110","主として管理事務を行う本社等"
"1109","110","その他の管理，補助的経済活動を行う事業所"
"1111","111","製糸業"
"1112","111","化学繊維製造業"
"1113","111","炭素繊維製造業"
"1114","111","綿紡績業"
"1115","111","化学繊維紡績業"
"1116","111","毛紡績業"
"1117","111","ねん糸製造業（かさ高加工糸を除く）"
"1118","111","かさ高加工糸製造業"
"1119","111","その他の紡績業"
"1121","112","綿・スフ織物業"
"1122","112","絹・人絹織物業"
"1123","112","毛織物業"
"1124","112","麻織物業"
"1125","112","細幅織物業"
"1129","112","その他の織物業"
"1131","113","丸編ニット生地製造業"
"1132","113","たて編ニット生地製造業"
"1133","113","横編ニット生地製造業"
"1141","114","綿・スフ・麻織物機械染色業"
"1142","114","絹・人絹織物機械染色業"
"1143","114","毛織物機械染色整理業"
"1144","114","織物整理業"
"1145","114","織物手加工染色整理業"
"1146","114","綿状繊維・糸染色整理業"
"1147","114","ニット・レース染色整理業"
"1148","114","繊維雑品染色整理業"
"1151","115","綱製造業"
"1152","115","漁網製造業"
"1153","115","網地製造業（漁網を除く）"
"1154","115","レース製造業"
"1155","115","組ひも製造業"
"1156","115","整毛業"
"1157","115","フェルト・不織布製造業"
