id,code,jsic_section_code,name
"1","01","1","農業"
"2","02","1","林業"
"3","03","2","漁業（水産養殖業を除く）"
"4","04","2","水産養殖業"
"5","05","3","鉱業、採石業、砂利採取業"
"6","06","4","総合工事業"
"7","07","4","職別工事業(設備工事業を除く)"
"8","08","4","設備工事業"
"9","09","5","食料品製造業"
"10","10","5","飲料・たばこ・飼料製造業"
"11","11","5","繊維工業"
"12","12","5","木材・木製品製造業（家具を除く）"
"13","13","5","家具・装備品製造業"
"14","14","5","パルプ・紙・紙加工品製造業"
"15","15","5","印刷・同関連業"
"16","16","5","化学工業"
"17","17","5","石油製品・石炭製品製造業"
"18","18","5","プラスチック製品製造業（別掲を除く）"
"19","19","5","ゴム製品製造業"
"20","20","5","なめし革・同製品・毛皮製造業"
"21","21","5","窯業・土石製品製造業"
"22","22","5","鉄鋼業"
"23","23","5","非鉄金属製造業"
"24","24","5","金属製品製造業"
"25","25","5","はん用機械器具製造業"
"26","26","5","生産用機械器具製造業"
"27","27","5","業務用機械器具製造業"
"28","28","5","電子部品・デバイス・電子回路製造業"
"29","29","5","電気機械器具製造業"
"30","30","5","情報通信機械器具製造業"
"31","31","5","輸送用機械器具製造業"
"32","32","5","その他の製造業"
"33","33","6","電気業"
"34","34","6","ガス業"
"35","35","6","熱供給業"
"36","36","6","水道業"
"37","37","7","通信業"
"38","38","7","放送業"
"39","39","7","情報サービス業"
"40","40","7","インターネット附随サービス業"
"41","41","7","映像・音声・文字情報制作業"
"42","42","8","鉄道業"
"43","43","8","道路旅客運送業"
"44","44","8","道路貨物運送業"
"45","45","8","水運業"
"46","46","8","航空運輸業"
"47","47","8","倉庫業"
"48","48","8","運輸に附帯するサービス業"
"49","49","8","郵便業（信書便事業を含む）"
"50","50","9","各種商品卸売業"
"51","51","9","繊維・衣服等卸売業"
"52","52","9","飲食料品卸売業"
"53","53","9","建築材料、鉱物・金属材料等卸売業"
"54","54","9","機械器具卸売業"
"55","55","9","その他の卸売業"
"56","56","9","各種商品小売業"
"57","57","9","織物・衣服・身の回り品小売業"
"58","58","9","飲食料品小売業"
"59","59","9","機械器具小売業"
"60","60","9","その他の小売業"
"61","61","9","無店舗小売業"
"62","62","10","銀行業"
"63","63","10","協同組織金融業"
"64","64","10","貸金業、クレジットカード業等非預金信用機関"
"65","65","10","金融商品取引業、商品先物取引業"
"66","66","10","補助的金融業等"
"67","67","10","保険業（保険媒介代理業、保険サービス業を含む）"
"68","68","11","不動産取引業"
"69","69","11","不動産賃貸業・管理業"
"70","70","11","物品賃貸業"
"71","71","12","学術・開発研究機関"
"72","72","12","専門サービス業（他に分類されないもの）"
"73","73","12","広告業"
"74","74","12","技術サービス業（他に分類されないもの）"
"75","75","13","宿泊業"
"76","76","13","飲食店"
"77","77","13","持ち帰り・配達飲食サービス業"
"78","78","14","洗濯・理容・美容・浴場業"
"79","79","14","その他の生活関連サービス業"
"80","80","14","娯楽業"
"81","81","15","学校教育"
"82","82","15","その他の教育、学習支援業"
"83","83","16","医療業"
"84","84","16","保健衛生"
"85","85","16","社会保険・社会福祉・介護事業"
"86","86","17","郵便局"
"87","87","17","協同組合（他に分類されないもの）"
"88","88","18","廃棄物処理業"
"89","89","18","自動車整備業"
"90","90","18","機械等修理業（別掲を除く）"
"91","91","18","職業紹介・労働者派遣業"
"92","92","18","その他の事業サービス業"
"93","93","18","政治・経済・文化団体"
"94","94","18","宗教"
"95","95","18","その他のサービス業"
"96","96","18","外国公務"
"97","97","19","国家公務"
"98","98","19","地方公務"
"99","99","20","分類不能の産業"
