id,code,jsic_division_code,name
"1","010","01","管理、補助的経済活動を行う事業所（01農業）"
"2","011","01","耕種農業"
"3","012","01","畜産農業"
"4","013","01","農業サービス業（園芸サービス業を除く）"
"5","014","01","園芸サービス業"
"6","020","02","管理、補助的経済活動を行う事業所（02林業）"
"7","021","02","育林業"
"8","022","02","素材生産業"
"9","023","02","特用林産物生産業（きのこ類の栽培を除く）"
"10","024","02","林業サービス業"
"11","029","02","その他の林業"
"12","030","03","管理、補助的経済活動を行う事業所（03漁業）"
"13","031","03","海面漁業"
"14","032","03","内水面漁業"
"15","040","04","管理、補助的経済活動を行う事業所（04水産養殖業）"
"16","041","04","海面養殖業"
"17","042","04","内水面養殖業"
"18","050","05","管理、補助的経済活動を行う事業所（05鉱業、採石業、砂利採取業）"
"19","051","05","金属鉱業"
"20","052","05","石炭・亜炭鉱業"
"21","053","05","原油・天然ガス鉱業"
"22","054","05","採石業、砂・砂利・玉石採取業"
"23","055","05","窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）"
"24","059","05","その他の鉱業"
"25","060","06","管理、補助的経済活動を行う事業所（06総合工事業）"
"26","061","06","一般土木建築工事業"
"27","062","06","土木工事業（舗装工事業を除く）"
"28","063","06","舗装工事業"
"29","064","06","建築工事業(木造建築工事業を除く)"
"30","065","06","木造建築工事業"
"31","066","06","建築リフォーム工事業"
"32","070","07","管理、補助的経済活動を行う事業所（07職別工事業）"
"33","071","07","大工工事業"
"34","072","07","とび・土工・コンクリート工事業"
"35","073","07","鉄骨・鉄筋工事業"
"36","074","07","石工・れんが・タイル・ブロック工事業"
"37","075","07","左官工事業"
"38","076","07","板金・金物工事業"
"39","077","07","塗装工事業"
"40","078","07","床・内装工事業"
"41","079","07","その他の職別工事業"
"42","080","08","管理、補助的経済活動を行う事業所（08設備工事業）"
"43","081","08","電気工事業"
"44","082","08","電気通信・信号装置工事業"
"45","083","08","管工事業（さく井工事業を除く）"
"46","084","08","機械器具設置工事業"
"47","089","08","その他の設備工事業"
"48","090","09","管理、補助的経済活動を行う事業所（09食料品製造業）"
"49","091","09","畜産食料品製造業"
"50","092","09","水産食料品製造業"
"51","093","09","野菜缶詰・果実缶詰・農産保存食料品製造業"
"52","094","09","調味料製造業"
"53","095","09","砂糖・でんぷん糖類製造業"
"54","096","09","精穀・製粉業"
"55","097","09","パン・菓子製造業"
"56","098","09","動植物油脂製造業"
"57","099","09","その他の食料品製造業"
"58","100","10","管理、補助的経済活動を行う事業所（10飲料・たばこ・飼料製造業）"
"59","101","10","清涼飲料製造業"
"60","102","10","酒類製造業"
"61","103","10","茶・コーヒー製造業（清涼飲料を除く）"
"62","104","10","製氷業"
"63","105","10","たばこ製造業"
"64","106","10","飼料・有機質肥料製造業"
"65","110","11","管理、補助的経済活動を行う事業所（11繊維工業）"
"66","111","11","製糸業、紡績業、化学繊維・ねん糸等製造業"
"67","112","11","織物業"
"68","113","11","ニット生地製造業"
"69","114","11","染色整理業"
"70","115","11","綱・網・レース・繊維粗製品製造業"
"71","116","11","外衣・シャツ製造業（和式を除く）"
"72","117","11","下着類製造業"
"73","118","11","和装製品・その他の衣服・繊維製身の回り品製造業"
"74","119","11","その他の繊維製品製造業"
"75","120","12","管理、補助的経済活動を行う事業所（12木材・木製品製造業）"
"76","121","12","製材業、木製品製造業"
"77","122","12","造作材・合板・建築用組立材料製造業"
"78","123","12","木製容器製造業（竹、とうを含む）"
"79","129","12","その他の木製品製造業(竹、とうを含む)"
"80","130","13","管理、補助的経済活動を行う事業所（13家具・装備品製造業）"
"81","131","13","家具製造業"
"82","132","13","宗教用具製造業"
"83","133","13","建具製造業"
"84","139","13","その他の家具・装備品製造業"
"85","140","14","管理、補助的経済活動を行う事業所（14パルプ・紙・紙加工品製造業）"
"86","141","14","パルプ製造業"
"87","142","14","紙製造業"
"88","143","14","加工紙製造業"
"89","144","14","紙製品製造業"
"90","145","14","紙製容器製造業"
"91","149","14","その他のパルプ・紙・紙加工品製造業"
"92","150","15","管理、補助的経済活動を行う事業所（15印刷・同関連業）"
"93","151","15","印刷業"
"94","152","15","製版業"
"95","153","15","製本業、印刷物加工業"
"96","159","15","印刷関連サービス業"
"97","160","16","管理、補助的経済活動を行う事業所（16化学工業）"
"98","161","16","化学肥料製造業"
"99","162","16","無機化学工業製品製造業"
"100","163","16","有機化学工業製品製造業"
"101","164","16","油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業"
"102","165","16","医薬品製造業"
"103","166","16","化粧品・歯磨・その他の化粧用調整品製造業"
"104","169","16","その他の化学工業"
"105","170","17","管理、補助的経済活動を行う事業所（17石油製品・石炭製品製造業）"
"106","171","17","石油精製業"
"107","172","17","潤滑油・グリース製造業（石油精製によらないもの）"
"108","173","17","コークス製造業"
"109","174","17","舗装材料製造業"
"110","179","17","その他の石油製品・石炭製品製造業"
"111","180","18","管理、補助的経済活動を行う事業所（18プラスチック製品製造業）"
"112","181","18","プラスチック板・棒・管・継手・異形押出製品製造業"
"113","182","18","プラスチックフィルム・シート・床材・合成皮革製造業"
"114","183","18","工業用プラスチック製品製造業"
"115","184","18","発泡・強化プラスチック製品製造業"
"116","185","18","プラスチック成形材料製造業（廃プラスチックを含む）"
"117","189","18","その他のプラスチック製品製造業"
"118","190","19","管理、補助的経済活動を行う事業所（19ゴム製品製造業）"
"119","191","19","タイヤ・チューブ製造業"
"120","192","19","ゴム製・プラスチック製履物・同附属品製造業"
"121","193","19","ゴムベルト・ゴムホース・工業用ゴム製品製造業"
"122","199","19","その他のゴム製品製造業"
"123","200","20","管理、補助的経済活動を行う事業所（20なめし革・同製品・毛皮製造業）"
"124","201","20","なめし革製造業"
"125","202","20","工業用革製品製造業（手袋を除く）"
"126","203","20","革製履物用材料・同附属品製造業"
"127","204","20","革製履物製造業"
"128","205","20","革製手袋製造業"
"129","206","20","かばん製造業"
"130","207","20","袋物製造業"
"131","208","20","毛皮製造業"
"132","209","20","その他のなめし革製品製造業"
"133","210","21","管理、補助的経済活動を行う事業所（21窯業・土石製品製造業）"
"134","211","21","ガラス・同製品製造業"
"135","212","21","セメント・同製品製造業"
"136","213","21","建設用粘土製品製造業（陶磁器製を除く)"
"137","214","21","陶磁器・同関連製品製造業"
"138","215","21","耐火物製造業"
"139","216","21","炭素・黒鉛製品製造業"
"140","217","21","研磨材・同製品製造業"
"141","218","21","骨材・石工品等製造業"
"142","219","21","その他の窯業・土石製品製造業"
"143","220","22","管理、補助的経済活動を行う事業所（22鉄鋼業）"
"144","221","22","製鉄業"
"145","222","22","製鋼・製鋼圧延業"
"146","223","22","製鋼を行わない鋼材製造業（表面処理鋼材を除く）"
"147","224","22","表面処理鋼材製造業"
"148","225","22","鉄素形材製造業"
"149","229","22","その他の鉄鋼業"
"150","230","23","管理、補助的経済活動を行う事業所（23非鉄金属製造業）"
"151","231","23","非鉄金属第１次製錬・精製業"
"152","232","23","非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）"
"153","233","23","非鉄金属・同合金圧延業（抽伸、押出しを含む）"
"154","234","23","電線・ケーブル製造業"
"155","235","23","非鉄金属素形材製造業"
"156","239","23","その他の非鉄金属製造業"
"157","240","24","管理、補助的経済活動を行う事業所（24金属製品製造業）"
"158","241","24","ブリキ缶・その他のめっき板等製品製造業"
"159","242","24","洋食器・刃物・手道具・金物類製造業"
"160","243","24","暖房・調理等装置、配管工事用附属品製造業"
"161","244","24","建設用・建築用金属製品製造業（製缶板金業を含む)"
"162","245","24","金属素形材製品製造業"
"163","246","24","金属被覆・彫刻業、熱処理業（ほうろう鉄器を除く）"
"164","247","24","金属線製品製造業（ねじ類を除く)"
"165","248","24","ボルト・ナット・リベット・小ねじ・木ねじ等製造業"
"166","249","24","その他の金属製品製造業"
"167","250","25","管理、補助的経済活動を行う事業所（25はん用機械器具製造業）"
"168","251","25","ボイラ・原動機製造業"
"169","252","25","ポンプ・圧縮機器製造業"
"170","253","25","一般産業用機械・装置製造業"
"171","259","25","その他のはん用機械・同部分品製造業"
"172","260","26","管理、補助的経済活動を行う事業所（26生産用機械器具製造業）"
"173","261","26","農業用機械製造業（農業用器具を除く）"
"174","262","26","建設機械・鉱山機械製造業"
"175","263","26","繊維機械製造業"
"176","264","26","生活関連産業用機械製造業"
"177","265","26","基礎素材産業用機械製造業"
"178","266","26","金属加工機械製造業"
"179","267","26","半導体・フラットパネルディスプレイ製造装置製造業"
"180","269","26","その他の生産用機械・同部分品製造業"
"181","270","27","管理、補助的経済活動を行う事業所（27業務用機械器具製造業）"
"182","271","27","事務用機械器具製造業"
"183","272","27","サービス用・娯楽用機械器具製造業"
"184","273","27","計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業"
"185","274","27","医療用機械器具・医療用品製造業"
"186","275","27","光学機械器具・レンズ製造業"
"187","276","27","武器製造業"
"188","280","28","管理、補助的経済活動を行う事業所（28電子部品・デバイス・電子回路製造業）"
"189","281","28","電子デバイス製造業"
"190","282","28","電子部品製造業"
"191","283","28","記録メディア製造業"
"192","284","28","電子回路製造業"
"193","285","28","ユニット部品製造業"
"194","289","28","その他の電子部品・デバイス・電子回路製造業"
"195","290","29","管理、補助的経済活動を行う事業所（29電気機械器具製造業）"
"196","291","29","発電用・送電用・配電用電気機械器具製造業"
"197","292","29","産業用電気機械器具製造業"
"198","293","29","民生用電気機械器具製造業"
"199","294","29","電球・電気照明器具製造業"
"200","295","29","電池製造業"
"201","296","29","電子応用装置製造業"
"202","297","29","電気計測器製造業"
"203","299","29","その他の電気機械器具製造業"
"204","300","30","管理、補助的経済活動を行う事業所（30情報通信機械器具製造業）"
"205","301","30","通信機械器具・同関連機械器具製造業"
"206","302","30","映像・音響機械器具製造業"
"207","303","30","電子計算機・同附属装置製造業"
"208","310","31","管理、補助的経済活動を行う事業所（31輸送用機械器具製造業）"
"209","311","31","自動車・同附属品製造業"
"210","312","31","鉄道車両・同部分品製造業"
"211","313","31","船舶製造・修理業、舶用機関製造業"
"212","314","31","航空機・同附属品製造業"
"213","315","31","産業用運搬車両・同部分品・附属品製造業"
"214","319","31","その他の輸送用機械器具製造業"
"215","320","32","管理、補助的経済活動を行う事業所（32その他の製造業）"
"216","321","32","貴金属・宝石製品製造業"
"217","322","32","装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）"
"218","323","32","時計・同部分品製造業"
"219","324","32","楽器製造業"
"220","325","32","がん具・運動用具製造業"
"221","326","32","ペン・鉛筆・絵画用品・その他の事務用品製造業"
"222","327","32","漆器製造業"
"223","328","32","畳等生活雑貨製品製造業"
"224","329","32","他に分類されない製造業"
"225","330","33","管理、補助的経済活動を行う事業所（33電気業）"
"226","331","33","電気業"
"227","340","34","管理、補助的経済活動を行う事業所（34ガス業）"
"228","341","34","ガス業"
"229","350","35","管理、補助的経済活動を行う事業所（35熱供給業）"
"230","351","35","熱供給業"
"231","360","36","管理、補助的経済活動を行う事業所（36水道業）"
"232","361","36","上水道業"
"233","362","36","工業用水道業"
"234","363","36","下水道業"
"235","370","37","管理、補助的経済活動を行う事業所（37通信業）"
"236","371","37","固定電気通信業"
"237","372","37","移動電気通信業"
"238","373","37","電気通信に附帯するサービス業"
"239","380","38","管理、補助的経済活動を行う事業所（38放送業）"
"240","381","38","公共放送業（有線放送業を除く）"
"241","382","38","民間放送業（有線放送業を除く）"
"242","383","38","有線放送業"
"243","390","39","管理、補助的経済活動を行う事業所（39情報サービス業）"
"244","391","39","ソフトウェア業"
"245","392","39","情報処理・提供サービス業"
"246","400","40","管理、補助的経済活動を行う事業所（40インターネット附随サービス業）"
"247","401","40","インターネット附随サービス業"
"248","410","41","管理、補助的経済活動を行う事業所（41映像・音声・文字情報制作業）"
"249","411","41","映像情報制作・配給業"
"250","412","41","音声情報制作業"
"251","413","41","新聞業"
"252","414","41","出版業"
"253","415","41","広告制作業"
"254","416","41","映像・音声・文字情報制作に附帯するサービス業"
"255","420","42","管理、補助的経済活動を行う事業所（42鉄道業）"
"256","421","42","鉄道業"
"257","430","43","管理、補助的経済活動を行う事業所（43道路旅客運送業）"
"258","431","43","一般乗合旅客自動車運送業"
"259","432","43","一般乗用旅客自動車運送業"
"260","433","43","一般貸切旅客自動車運送業"
"261","439","43","その他の道路旅客運送業"
"262","440","44","管理、補助的経済活動を行う事業所（44道路貨物運送業）"
"263","441","44","一般貨物自動車運送業"
"264","442","44","特定貨物自動車運送業"
"265","443","44","貨物軽自動車運送業"
"266","444","44","集配利用運送業"
"267","449","44","その他の道路貨物運送業"
"268","450","45","管理、補助的経済活動を行う事業所（45水運業）"
"269","451","45","外航海運業"
"270","452","45","沿海海運業"
"271","453","45","内陸水運業"
"272","454","45","船舶貸渡業"
"273","460","46","管理、補助的経済活動を行う事業所（46航空運輸業）"
"274","461","46","航空運送業"
"275","462","46","航空機使用業（航空運送業を除く）"
"276","470","47","管理、補助的経済活動を行う事業所（47倉庫業）"
"277","471","47","倉庫業（冷蔵倉庫業を除く）"
"278","472","47","冷蔵倉庫業"
"279","480","48","管理、補助的経済活動を行う事業所（48運輸に附帯するサービス業）"
"280","481","48","港湾運送業"
"281","482","48","貨物運送取扱業（集配利用運送業を除く）"
"282","483","48","運送代理店"
"283","484","48","こん包業"
"284","485","48","運輸施設提供業"
"285","489","48","その他の運輸に附帯するサービス業"
"286","490","49","管理、補助的経済活動を行う事業所（49郵便業）"
"287","491","49","郵便業（信書便事業を含む）"
"288","500","50","管理、補助的経済活動を行う事業所（50各種商品卸売業）"
"289","501","50","各種商品卸売業"
"290","510","51","管理、補助的経済活動を行う事業所（51繊維・衣服等卸売業）"
"291","511","51","繊維品卸売業（衣服、身の回り品を除く）"
"292","512","51","衣服卸売業"
"293","513","51","身の回り品卸売業"
"294","520","52","管理、補助的経済活動を行う事業所（52飲食料品卸売業）"
"295","521","52","農畜産物・水産物卸売業"
"296","522","52","食料・飲料卸売業"
"297","530","53","管理、補助的経済活動を行う事業所（53建築材料、鉱物・金属材料等卸売業）"
"298","531","53","建築材料卸売業"
"299","532","53","化学製品卸売業"
"300","533","53","石油・鉱物卸売業"
"301","534","53","鉄鋼製品卸売業"
"302","535","53","非鉄金属卸売業"
"303","536","53","再生資源卸売業"
"304","540","54","管理、補助的経済活動を行う事業所（54機械器具卸売業）"
"305","541","54","産業機械器具卸売業"
"306","542","54","自動車卸売業"
"307","543","54","電気機械器具卸売業"
"308","549","54","その他の機械器具卸売業"
"309","550","55","管理、補助的経済活動を行う事業所（55その他の卸売業）"
"310","551","55","家具・建具・じゅう器等卸売業"
"311","552","55","医薬品・化粧品等卸売業"
"312","553","55","紙・紙製品卸売業"
"313","559","55","他に分類されない卸売業"
"314","560","56","管理、補助的経済活動を行う事業所（56各種商品小売業）"
"315","561","56","百貨店"
"316","562","56","総合スーパーマーケット"
"317","563","56","コンビニエンスストア"
"318","564","56","ドラッグストア"
"319","565","56","ホームセンター"
"320","566","56","均一価格店"
"321","569","56","その他の各種商品小売業"
"322","570","57","管理、補助的経済活動を行う事業所（57織物・衣服・身の回り品小売業）"
"323","571","57","呉服・服地・寝具小売業"
"324","572","57","男子服小売業"
"325","573","57","婦人・子供服小売業"
"326","574","57","靴・履物小売業"
"327","579","57","その他の織物・衣服・身の回り品小売業"
"328","580","58","管理、補助的経済活動を行う事業所（58飲食料品小売業）"
"329","581","58","各種食料品小売業"
"330","582","58","野菜・果実小売業"
"331","583","58","食肉小売業"
"332","584","58","鮮魚小売業"
"333","585","58","酒小売業"
"334","586","58","菓子・パン小売業"
"335","589","58","その他の飲食料品小売業"
"336","590","59","管理、補助的経済活動を行う事業所（59機械器具小売業）"
"337","591","59","自動車小売業"
"338","592","59","自転車小売業"
"339","593","59","機械器具小売業（自動車、自転車を除く）"
"340","600","60","管理、補助的経済活動を行う事業所（60その他の小売業）"
"341","601","60","家具・建具・畳小売業"
"342","602","60","じゅう器小売業"
"343","603","60","医薬品・化粧品小売業"
"344","604","60","農耕用品小売業"
"345","605","60","燃料小売業"
"346","606","60","書籍・文房具小売業"
"347","607","60","スポーツ用品・がん具・娯楽用品・楽器小売業"
"348","608","60","写真機・時計・眼鏡小売業"
"349","609","60","他に分類されない小売業"
"350","610","61","管理、補助的経済活動を行う事業所（61無店舗小売業）"
"351","611","61","通信販売・訪問販売小売業"
"352","612","61","自動販売機による小売業"
"353","619","61","その他の無店舗小売業"
"354","620","62","管理、補助的経済活動を行う事業所（62銀行業）"
"355","621","62","中央銀行"
"356","622","62","銀行（中央銀行を除く）"
"357","630","63","管理、補助的経済活動を行う事業所（63協同組織金融業）"
"358","631","63","中小企業等金融業"
"359","632","63","農林水産金融業"
"360","640","64","管理、補助的経済活動を行う事業所（64貸金業、クレジットカード業等非預金信用機関）"
"361","641","64","貸金業"
"362","642","64","質屋"
"363","643","64","クレジットカード業、割賦金融業"
"364","649","64","その他の非預金信用機関"
"365","650","65","管理、補助的経済活動を行う事業所（65金融商品取引業、商品先物取引業）"
"366","651","65","金融商品取引業"
"367","652","65","商品先物取引業、商品投資顧問業"
"368","660","66","管理、補助的経済活動を行う事業所（66補助的金融業等）"
"369","661","66","補助的金融業、金融附帯業"
"370","662","66","信託業"
"371","663","66","金融代理業"
"372","670","67","管理、補助的経済活動を行う事業所（67保険業）"
"373","671","67","生命保険業"
"374","672","67","損害保険業"
"375","673","67","共済事業、少額短期保険業"
"376","674","67","保険媒介代理業"
"377","675","67","保険サービス業"
"378","680","68","管理、補助的経済活動を行う事業所（68不動産取引業）"
"379","681","68","建物売買業、土地売買業"
"380","682","68","不動産代理業・仲介業"
"381","690","69","管理、補助的経済活動を行う事業所（69不動産賃貸業・管理業）"
"382","691","69","不動産賃貸業（貸家業、貸間業を除く）"
"383","692","69","貸家業、貸間業"
"384","693","69","駐車場業"
"385","694","69","不動産管理業"
"386","700","70","管理、補助的経済活動を行う事業所（70物品賃貸業）"
"387","701","70","各種物品賃貸業"
"388","702","70","産業用機械器具賃貸業"
"389","703","70","事務用機械器具賃貸業"
"390","704","70","自動車賃貸業"
"391","705","70","スポーツ・娯楽用品賃貸業"
"392","709","70","その他の物品賃貸業"
"393","710","71","管理、補助的経済活動を行う事業所（71学術・開発研究機関）"
"394","711","71","自然科学研究所"
"395","712","71","人文・社会科学研究所"
"396","720","72","管理、補助的経済活動を行う事業所（72専門サービス業）"
"397","721","72","法律事務所、特許事務所"
"398","722","72","公証人役場、司法書士事務所、土地家屋調査士事務所"
"399","723","72","行政書士事務所"
"400","724","72","公認会計士事務所、税理士事務所"
"401","725","72","社会保険労務士事務所"
"402","726","72","デザイン業"
"403","727","72","著述・芸術家業"
"404","728","72","経営コンサルタント業、純粋持株会社"
"405","729","72","その他の専門サービス業"
"406","730","73","管理、補助的経済活動を行う事業所（73広告業）"
"407","731","73","広告業"
"408","740","74","管理、補助的経済活動を行う事業所（74技術サービス業）"
"409","741","74","獣医業"
"410","742","74","土木建築サービス業"
"411","743","74","機械設計業"
"412","744","74","商品・非破壊検査業"
"413","745","74","計量証明業"
"414","746","74","写真業"
"415","749","74","その他の技術サービス業"
"416","750","75","管理、補助的経済活動を行う事業所（75宿泊業）"
"417","751","75","旅館、ホテル"
"418","752","75","簡易宿所"
"419","753","75","下宿業"
"420","759","75","その他の宿泊業"
"421","760","76","管理、補助的経済活動を行う事業所（76飲食店）"
"422","761","76","食堂、レストラン（専門料理店を除く）"
"423","762","76","専門料理店"
"424","763","76","そば・うどん店"
