id,code,tsr_group_code,name
"1","0111","011","米作農業"
"2","0112","011","米作以外の穀作農業"
"3","0113","011","野菜作農業（きのこ類の栽培を含む）"
"4","0114","011","果樹作農業"
"5","0115","011","花き作農業"
"6","0116","011","工芸農作物農業"
"7","0117","011","ばれいしょ・かんしょ作農業"
"8","0119","011","その他の耕種農業"
"9","0121","012","酪農業"
"10","0122","012","肉用牛生産業"
"11","0123","012","養豚業"
"12","0124","012","養鶏業"
"13","0125","012","畜産類似業"
"14","0126","012","養蚕農業"
"15","0129","012","その他の畜産農業"
"16","0131","013","穀作サービス業"
"17","0132","013","野菜作・果樹作サービス業"
"18","0133","013","穀作，野菜作・果樹作以外の耕種サービス業"
"19","0134","013","畜産サービス業（獣医業を除く）"
"20","0141","014","園芸サービス業"
"21","0211","021","育林業"
"22","0221","022","素材生産業"
"23","0231","023","製薪炭業"
"24","0239","023","その他の特用林産物生産業（きのこ類の栽培を除く）"
"25","0241","024","育林サービス業"
"26","0242","024","素材生産サービス業"
"27","0243","024","山林種苗生産サービス業"
"28","0249","024","その他の林業サービス業"
"29","0299","029","その他の林業"
"30","0311","031","底びき網漁業"
"31","0312","031","まき網漁業"
"32","0313","031","刺網漁業"
"33","0314","031","釣・はえ縄漁業"
"34","0315","031","定置網漁業"
"35","0316","031","地びき網・船びき網漁業"
"36","0317","031","採貝・採藻業"
"37","0318","031","捕鯨業"
"38","0319","031","その他の海面漁業"
"39","0321","032","内水面漁業"
"40","0411","041","魚類養殖業"
"41","0412","041","貝類養殖業"
"42","0413","041","藻類養殖業"
"43","0414","041","真珠養殖業"
"44","0415","041","種苗養殖業"
"45","0419","041","その他の海面養殖業"
"46","0421","042","内水面養殖業"
"47","0511","051","金・銀鉱業"
"48","0512","051","鉛・亜鉛鉱業"
"49","0513","051","鉄鉱業"
"50","0519","051","その他の金属鉱業"
"51","0521","052","石炭鉱業（石炭選別業を含む）"
"52","0522","052","亜炭鉱業"
"53","0531","053","原油鉱業"
"54","0532","053","天然ガス鉱業"
"55","0541","054","花こう岩・同類似岩石採石業"
"56","0542","054","石英粗面岩・同類似岩石採石業"
"57","0543","054","安山岩・同類似岩石採石業"
"58","0544","054","大理石採石業"
"59","0545","054","ぎょう灰岩採石業"
"60","0546","054","砂岩採石業"
"61","0547","054","粘板岩採石業"
"62","0548","054","砂・砂利・玉石採取業"
"63","0549","054","その他の採石業，砂・砂利・玉石採取業"
"64","0551","055","耐火粘土鉱業"
"65","0552","055","ろう石鉱業"
"66","0553","055","ドロマイト鉱業"
"67","0554","055","長石鉱業"
"68","0555","055","けい石鉱業"
"69","0556","055","天然けい砂鉱業"
"70","0557","055","石灰石鉱業"
"71","0559","055","その他の窯業原料用鉱物鉱業"
"72","0591","059","酸性白土鉱業"
"73","0592","059","ベントナイト鉱業"
"74","0593","059","けいそう土鉱業"
"75","0594","059","滑石鉱業"
"76","0599","059","他に分類されない鉱業"
"77","0611","061","一般土木建築工事業"
"78","0621","062","土木工事業(別掲を除く)"
"79","0622","062","造園工事業"
"80","0623","062","しゅんせつ工事業"
"81","0631","063","舗装工事業"
"82","0641","064","建築工事業(木造建築工事業を除く)"
"83","0651","065","木造建築工事業"
"84","0661","066","建築リフォーム工事業"
"85","0711","071","大工工事業(型枠大工工事業を除く)"
"86","0712","071","型枠大工工事業"
"87","0721","072","とび工事業"
"88","0722","072","土工・コンクリート工事業"
"89","0723","072","特殊コンクリート工事業"
"90","0731","073","鉄骨工事業"
"91","0732","073","鉄筋工事業"
"92","0741","074","石工工事業"
"93","0742","074","れんが工事業"
"94","0743","074","タイル工事業"
"95","0744","074","コンクリートブロック工事業"
"96","0751","075","左官工事業"
"97","0761","076","金属製屋根工事業"
"98","0762","076","板金工事業"
"99","0763","076","建築金物工事業"
"100","0771","077","塗装工事業（道路標示・区画線工事業を除く）"
"101","0772","077","道路標示・区画線工事業"
"102","0781","078","床工事業"
"103","0782","078","内装工事業"
"104","0791","079","ガラス工事業"
"105","0792","079","金属製建具工事業"
"106","0793","079","木製建具工事業"
"107","0794","079","屋根工事業（金属製屋根工事業を除く）"
"108","0795","079","防水工事業"
"109","0796","079","はつり・解体工事業"
"110","0799","079","他に分類されない職別工事業"
"111","0811","081","一般電気工事業"
"112","0812","081","電気配線工事業"
"113","0821","082","電気通信工事業（有線テレビジョン放送設備設置工事業を除く）"
"114","0822","082","有線テレビジョン放送設備設置工事業"
"115","0823","082","信号装置工事業"
"116","0831","083","一般管工事業"
"117","0832","083","冷暖房設備工事業"
"118","0833","083","給排水・衛生設備工事業"
"119","0839","083","その他の管工事業"
"120","0841","084","機械器具設置工事業（昇降設備工事業を除く）"
"121","0842","084","昇降設備工事業"
"122","0891","089","築炉工事業"
"123","0892","089","熱絶縁工事業"
"124","0893","089","道路標識設置工事業"
"125","0894","089","さく井工事業"
"126","0911","091","部分肉・冷凍肉製造業"
"127","0912","091","肉加工品製造業"
"128","0913","091","処理牛乳・乳飲料製造業"
"129","0914","091","乳製品製造業（処理牛乳，乳飲料を除く）"
"130","0919","091","その他の畜産食料品製造業"
"131","0921","092","水産缶詰・瓶詰製造業"
"132","0922","092","海藻加工業"
"133","0923","092","水産練製品製造業"
"134","0924","092","塩干・塩蔵品製造業"
"135","0925","092","冷凍水産物製造業"
"136","0926","092","冷凍水産食品製造業"
"137","0929","092","その他の水産食料品製造業"
"138","0931","093","野菜缶詰・果実缶詰・農産保存食料品製造業（野菜漬物を除く）"
"139","0932","093","野菜漬物製造業（缶詰，瓶詰，つぼ詰を除く）"
"140","0941","094","味そ製造業"
"141","0942","094","しょう油・食用アミノ酸製造業"
"142","0943","094","ソース製造業"
"143","0944","094","食酢製造業"
"144","0949","094","その他の調味料製造業"
"145","0951","095","砂糖製造業（砂糖精製業を除く）"
"146","0952","095","砂糖精製業"
"147","0953","095","ぶどう糖・水あめ・異性化糖製造業"
"148","0961","096","精米・精麦業"
"149","0962","096","小麦粉製造業"
"150","0969","096","その他の精穀・製粉業"
"151","0971","097","パン製造業"
"152","0972","097","生菓子製造業"
"153","0973","097","ビスケット類・干菓子製造業"
"154","0974","097","米菓製造業"
"155","0979","097","その他のパン・菓子製造業"
"156","0981","098","動植物油脂製造業（食用油脂加工業を除く）"
"157","0982","098","食用油脂加工業"
"158","0991","099","でんぷん製造業"
"159","0992","099","めん類製造業"
"160","0993","099","豆腐・油揚製造業"
"161","0994","099","あん類製造業"
"162","0995","099","冷凍調理食品製造業"
"163","0996","099","そう（惣）菜製造業"
"164","0997","099","すし・弁当・調理パン製造業"
"165","0998","099","レトルト食品製造業"
"166","0999","099","他に分類されない食料品製造業"
"167","1011","101","清涼飲料製造業"
"168","1021","102","果実酒製造業"
"169","1022","102","ビール類製造業"
"170","1023","102","清酒製造業"
"171","1024","102","蒸留酒・混成酒製造業"
"172","1031","103","製茶業"
"173","1032","103","コーヒー製造業"
"174","1041","104","製氷業"
"175","1051","105","たばこ製造業（葉たばこ処理業を除く)"
"176","1052","105","葉たばこ処理業"
"177","1061","106","配合飼料製造業"
"178","1062","106","単体飼料製造業"
"179","1063","106","有機質肥料製造業"
"180","1111","111","製糸業"
"181","1112","111","化学繊維製造業"
"182","1113","111","炭素繊維製造業"
"183","1114","111","綿紡績業"
"184","1115","111","化学繊維紡績業"
"185","1116","111","毛紡績業"
"186","1117","111","ねん糸製造業（かさ高加工糸を除く）"
"187","1118","111","かさ高加工糸製造業"
"188","1119","111","その他の紡績業"
"189","1121","112","綿・スフ織物業"
"190","1122","112","絹・人絹織物業"
"191","1123","112","毛織物業"
"192","1124","112","麻織物業"
"193","1125","112","細幅織物業"
"194","1129","112","その他の織物業"
"195","1131","113","丸編ニット生地製造業"
"196","1132","113","たて編ニット生地製造業"
"197","1133","113","横編ニット生地製造業"
"198","1141","114","綿・スフ・麻織物機械染色業"
"199","1142","114","絹・人絹織物機械染色業"
"200","1143","114","毛織物機械染色整理業"
"201","1144","114","織物整理業"
"202","1145","114","織物手加工染色整理業"
"203","1146","114","綿状繊維・糸染色整理業"
"204","1147","114","ニット・レース染色整理業"
"205","1148","114","繊維雑品染色整理業"
"206","1151","115","綱製造業"
"207","1152","115","漁網製造業"
"208","1153","115","網地製造業（漁網を除く）"
"209","1154","115","レース製造業"
"210","1155","115","組ひも製造業"
"211","1156","115","整毛業"
"212","1157","115","フェルト・不織布製造業"
"213","1158","115","上塗りした織物・防水した織物製造業"
"214","1159","115","その他の繊維粗製品製造業"
"215","1161","116","織物製成人男子・少年服製造業（不織布製及びレース製を含む）"
"216","1162","116","織物製成人女子・少女服製造業（不織布製及びレース製を含む）"
"217","1163","116","織物製乳幼児服製造業（不織布製及びレース製を含む）"
"218","1164","116","織物製シャツ製造業（不織布製及びレース製を含み、下着を除く）"
"219","1165","116","織物製事務用・作業用・衛生用・スポーツ用衣服・学校服製造業（不織布製及びレース製を含む）"
"220","1166","116","ニット製外衣製造業（アウターシャツ類，セーター類などを除く）"
"221","1167","116","ニット製アウターシャツ類製造業"
"222","1168","116","セーター類製造業"
"223","1169","116","その他の外衣・シャツ製造業"
"224","1171","117","織物製下着製造業"
"225","1172","117","ニット製下着製造業"
"226","1173","117","織物製・ニット製寝着類製造業"
"227","1174","117","補整着製造業"
"228","1181","118","和装製品製造業（足袋を含む）"
"229","1182","118","ネクタイ製造業"
"230","1183","118","スカーフ・マフラー・ハンカチーフ製造業"
"231","1184","118","靴下製造業"
"232","1185","118","手袋製造業"
"233","1186","118","帽子製造業（帽体を含む）"
"234","1189","118","他に分類されない衣服・繊維製身の回り品製造業"
"235","1191","119","寝具製造業"
"236","1192","119","毛布製造業"
"237","1193","119","じゅうたん・その他の繊維製床敷物製造業"
"238","1194","119","帆布製品製造業"
"239","1195","119","繊維製袋製造業"
"240","1196","119","刺しゅう業"
"241","1197","119","タオル製造業"
"242","1198","119","繊維製衛生材料製造業"
"243","1199","119","他に分類されない繊維製品製造業"
"244","1211","121","一般製材業"
"245","1212","121","単板（ベニヤ）製造業"
"246","1213","121","床板製造業"
"247","1214","121","木材チップ製造業"
"248","1219","121","その他の特殊製材業"
"249","1221","122","造作材製造業（建具を除く）"
"250","1222","122","合板製造業"
"251","1223","122","集成材製造業"
"252","1224","122","建築用木製組立材料製造業"
"253","1225","122","パーティクルボード製造業"
"254","1226","122","繊維板製造業"
"255","1227","122","銘木製造業"
"256","1231","123","竹・とう・きりゅう等容器製造業"
"257","1232","123","木箱製造業"
"258","1233","123","たる・おけ製造業"
"259","1291","129","木材薬品処理業"
"260","1292","129","コルク加工基礎資材・コルク製品製造業"
"261","1299","129","他に分類されない木製品製造業(竹，とうを含む)"
"262","1311","131","木製家具製造業（漆塗りを除く）"
"263","1312","131","金属製家具製造業"
"264","1313","131","マットレス・組スプリング製造業"
"265","1321","132","宗教用具製造業"
"266","1331","133","建具製造業"
"267","1391","139","事務所用・店舗用装備品製造業"
"268","1392","139","窓用・扉用日よけ，日本びょうぶ等製造業"
"269","1393","139","鏡縁・額縁製造業"
"270","1399","139","他に分類されない家具・装備品製造業"
"271","1411","141","パルプ製造業"
"272","1421","142","洋紙製造業"
"273","1422","142","板紙製造業"
"274","1423","142","機械すき和紙製造業"
"275","1424","142","手すき和紙製造業"
"276","1431","143","塗工紙製造業（印刷用紙を除く）"
"277","1432","143","段ボール製造業"
"278","1433","143","壁紙・ふすま紙製造業"
"279","1441","144","事務用・学用紙製品製造業"
"280","1442","144","日用紙製品製造業"
"281","1449","144","その他の紙製品製造業"
"282","1451","145","重包装紙袋製造業"
"283","1452","145","角底紙袋製造業"
"284","1453","145","段ボール箱製造業"
"285","1454","145","紙器製造業"
"286","1499","149","その他のパルプ・紙・紙加工品製造業"
"287","1511","151","オフセット印刷業（紙に対するもの）"
"288","1512","151","オフセット印刷以外の印刷業（紙に対するもの）"
"289","1513","151","紙以外の印刷業"
"290","1521","152","製版業"
"291","1531","153","製本業"
"292","1532","153","印刷物加工業"
"293","1591","159","印刷関連サービス業"
"294","1611","161","窒素質・りん酸質肥料製造業"
"295","1612","161","複合肥料製造業"
"296","1619","161","その他の化学肥料製造業"
"297","1621","162","ソーダ工業"
"298","1622","162","無機顔料製造業"
"299","1623","162","圧縮ガス・液化ガス製造業"
"300","1624","162","塩製造業"
"301","1629","162","その他の無機化学工業製品製造業"
"302","1631","163","石油化学系基礎製品製造業（一貫して生産される誘導品を含む）"
"303","1632","163","脂肪族系中間物製造業（脂肪族系溶剤を含む）"
"304","1633","163","発酵工業"
"305","1634","163","環式中間物・合成染料・有機顔料製造業"
"306","1635","163","プラスチック製造業"
"307","1636","163","合成ゴム製造業"
"308","1639","163","その他の有機化学工業製品製造業"
"309","1641","164","脂肪酸・硬化油・グリセリン製造業"
"310","1642","164","石けん・合成洗剤製造業"
"311","1643","164","界面活性剤製造業（石けん，合成洗剤を除く）"
"312","1644","164","塗料製造業"
"313","1645","164","印刷インキ製造業"
