id,code,tsr_section_code,name
"1","01","A","農業"
"2","02","A","林業"
"3","03","B","漁業（水産養殖業を除く）"
"4","04","B","水産養殖業"
"5","05","C","鉱業，採石業，砂利採取業"
"6","06","D","総合工事業"
"7","07","D","職別工事業(設備工事業を除く)"
"8","08","D","設備工事業"
"9","09","E","食料品製造業"
"10","10","E","飲料・たばこ・飼料製造業"
"11","11","E","繊維工業"
"12","12","E","木材・木製品製造業（家具を除く）"
"13","13","E","家具・装備品製造業"
"14","14","E","パルプ・紙・紙加工品製造業"
"15","15","E","印刷・同関連業"
"16","16","E","化学工業"
"17","17","E","石油製品・石炭製品製造業"
"18","18","E","プラスチック製品製造業（別掲を除く）"
"19","19","E","ゴム製品製造業"
"20","20","E","なめし革・同製品・毛皮製造業"
"21","21","E","窯業・土石製品製造業"
"22","22","E","鉄鋼業"
"23","23","E","非鉄金属製造業"
"24","24","E","金属製品製造業"
"25","25","E","はん用機械器具製造業"
"26","26","E","生産用機械器具製造業"
"27","27","E","業務用機械器具製造業"
"28","28","E","電子部品・デバイス・電子回路製造業"
"29","29","E","電気機械器具製造業"
"30","30","E","情報通信機械器具製造業"
"31","31","E","輸送用機械器具製造業"
"32","32","E","その他の製造業"
"33","33","F","電気業"
"34","34","F","ガス業"
"35","35","F","熱供給業"
"36","36","F","水道業"
"37","37","G","通信業"
"38","38","G","放送業"
"39","39","G","情報サービス業"
"40","40","G","インターネット附随サービス業"
"41","41","G","映像・音声・文字情報制作業"
"42","42","H","鉄道業"
"43","43","H","道路旅客運送業"
"44","44","H","道路貨物運送業"
"45","45","H","水運業"
"46","46","H","航空運輸業"
"47","47","H","倉庫業"
"48","48","H","運輸に附帯するサービス業"
"49","49","H","郵便業（信書便事業を含む）"
"50","50","I","各種商品卸売業"
"51","51","I","繊維・衣服等卸売業"
"52","52","I","飲食料品卸売業"
"53","53","I","建築材料，鉱物・金属材料等卸売業"
"54","54","I","機械器具卸売業"
"55","55","I","その他の卸売業"
"56","56","I","各種商品小売業"
"57","57","I","織物・衣服・身の回り品小売業"
"58","58","I","飲食料品小売業"
"59","59","I","機械器具小売業"
"60","60","I","その他の小売業"
"61","61","I","無店舗小売業"
"62","62","J","銀行業"
"63","63","J","協同組織金融業"
"64","64","J","貸金業，クレジットカード業等非預金信用機関"
"65","65","J","金融商品取引業，商品先物取引業"
"66","66","J","補助的金融業等"
"67","67","J","保険業（保険媒介代理業，保険サービス業を含む）"
"68","68","K","不動産取引業"
"69","69","K","不動産賃貸業・管理業"
"70","70","K","物品賃貸業"
"71","71","L","学術・開発研究機関"
"72","72","L","専門サービス業（他に分類されないもの）"
"73","73","L","広告業"
"74","74","L","技術サービス業（他に分類されないもの）"
"75","75","M","宿泊業"
"76","76","M","飲食店"
"77","77","M","持ち帰り・配達飲食サービス業"
"78","78","N","洗濯・理容・美容・浴場業"
"79","79","N","その他の生活関連サービス業"
"80","80","N","娯楽業"
"81","81","O","学校教育"
"82","82","O","その他の教育，学習支援業"
"83","83","P","医療業"
"84","84","P","保健衛生"
"85","85","P","社会保険・社会福祉・介護事業"
"86","86","Q","郵便局"
"87","87","Q","協同組合（他に分類されないもの）"
"88","88","R","廃棄物処理業"
"89","89","R","自動車整備業"
"90","90","R","機械等修理業（別掲を除く）"
"91","91","R","職業紹介・労働者派遣業"
"92","92","R","その他の事業サービス業"
"93","93","R","政治・経済・文化団体"
"94","94","R","宗教"
"95","95","R","その他のサービス業"
"96","96","R","外国公務"
"97","97","S","国家公務"
"98","98","S","地方公務"
"99","99","T","分類不能の産業"
