id,code,tsr_division_code,name
"1","011","01","耕種農業"
"2","012","01","畜産農業"
"3","013","01","農業サービス業（園芸サービス業を除く）"
"4","014","01","園芸サービス業"
"5","021","02","育林業"
"6","022","02","素材生産業"
"7","023","02","特用林産物生産業（きのこ類の栽培を除く）"
"8","024","02","林業サービス業"
"9","029","02","その他の林業"
"10","031","03","海面漁業"
"11","032","03","内水面漁業"
"12","041","04","海面養殖業"
"13","042","04","内水面養殖業"
"14","051","05","金属鉱業"
"15","052","05","石炭・亜炭鉱業"
"16","053","05","原油・天然ガス鉱業"
"17","054","05","採石業，砂・砂利・玉石採取業"
"18","055","05","窯業原料用鉱物鉱業（耐火物・陶磁器・ガラス・セメント原料用に限る）"
"19","059","05","その他の鉱業"
"20","061","06","一般土木建築工事業"
"21","062","06","土木工事業（舗装工事業を除く）"
"22","063","06","舗装工事業"
"23","064","06","建築工事業(木造建築工事業を除く)"
"24","065","06","木造建築工事業"
"25","066","06","建築リフォーム工事業"
"26","071","07","大工工事業"
"27","072","07","とび・土工・コンクリート工事業"
"28","073","07","鉄骨・鉄筋工事業"
"29","074","07","石工・れんが・タイル・ブロック工事業"
"30","075","07","左官工事業"
"31","076","07","板金・金物工事業"
"32","077","07","塗装工事業"
"33","078","07","床・内装工事業"
"34","079","07","その他の職別工事業"
"35","081","08","電気工事業"
"36","082","08","電気通信・信号装置工事業"
"37","083","08","管工事業（さく井工事業を除く）"
"38","084","08","機械器具設置工事業"
"39","089","08","その他の設備工事業"
"40","091","09","畜産食料品製造業"
"41","092","09","水産食料品製造業"
"42","093","09","野菜缶詰・果実缶詰・農産保存食料品製造業"
"43","094","09","調味料製造業"
"44","095","09","糖類製造業"
"45","096","09","精穀・製粉業"
"46","097","09","パン・菓子製造業"
"47","098","09","動植物油脂製造業"
"48","099","09","その他の食料品製造業"
"49","101","10","清涼飲料製造業"
"50","102","10","酒類製造業"
"51","103","10","茶・コーヒー製造業（清涼飲料を除く）"
"52","104","10","製氷業"
"53","105","10","たばこ製造業"
"54","106","10","飼料・有機質肥料製造業"
"55","111","11","製糸業，紡績業，化学繊維・ねん糸等製造業"
"56","112","11","織物業"
"57","113","11","ニット生地製造業"
"58","114","11","染色整理業"
"59","115","11","綱・網・レース・繊維粗製品製造業"
"60","116","11","外衣・シャツ製造業（和式を除く）"
"61","117","11","下着類製造業"
"62","118","11","和装製品・その他の衣服・繊維製身の回り品製造業"
"63","119","11","その他の繊維製品製造業"
"64","121","12","製材業，木製品製造業"
"65","122","12","造作材・合板・建築用組立材料製造業"
"66","123","12","木製容器製造業（竹，とうを含む）"
"67","129","12","その他の木製品製造業(竹，とうを含む)"
"68","131","13","家具製造業"
"69","132","13","宗教用具製造業"
"70","133","13","建具製造業"
"71","139","13","その他の家具・装備品製造業"
"72","141","14","パルプ製造業"
"73","142","14","紙製造業"
"74","143","14","加工紙製造業"
"75","144","14","紙製品製造業"
"76","145","14","紙製容器製造業"
"77","149","14","その他のパルプ・紙・紙加工品製造業"
"78","151","15","印刷業"
"79","152","15","製版業"
"80","153","15","製本業，印刷物加工業"
"81","159","15","印刷関連サービス業"
"82","161","16","化学肥料製造業"
"83","162","16","無機化学工業製品製造業"
"84","163","16","有機化学工業製品製造業"
"85","164","16","油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業"
"86","165","16","医薬品製造業"
"87","166","16","化粧品・歯磨・その他の化粧用調整品製造業"
"88","169","16","その他の化学工業"
"89","171","17","石油精製業"
"90","172","17","潤滑油・グリース製造業（石油精製業によらないもの）"
"91","173","17","コークス製造業"
"92","174","17","舗装材料製造業"
"93","179","17","その他の石油製品・石炭製品製造業"
"94","181","18","プラスチック板・棒・管・継手・異形押出製品製造業"
"95","182","18","プラスチックフィルム・シート・床材・合成皮革製造業"
"96","183","18","工業用プラスチック製品製造業"
"97","184","18","発泡・強化プラスチック製品製造業"
"98","185","18","プラスチック成形材料製造業（廃プラスチックを含む）"
"99","189","18","その他のプラスチック製品製造業"
"100","191","19","タイヤ・チューブ製造業"
"101","192","19","ゴム製・プラスチック製履物・同附属品製造業"
"102","193","19","ゴムベルト・ゴムホース・工業用ゴム製品製造業"
"103","199","19","その他のゴム製品製造業"
"104","201","20","なめし革製造業"
"105","202","20","工業用革製品製造業（手袋を除く）"
"106","203","20","革製履物用材料・同附属品製造業"
"107","204","20","革製履物製造業"
"108","205","20","革製手袋製造業"
"109","206","20","かばん製造業"
"110","207","20","袋物製造業"
"111","208","20","毛皮製造業"
"112","209","20","その他のなめし革製品製造業"
"113","211","21","ガラス・同製品製造業"
"114","212","21","セメント・同製品製造業"
"115","213","21","建設用粘土製品製造業（陶磁器製を除く)"
"116","214","21","陶磁器・同関連製品製造業"
"117","215","21","耐火物製造業"
"118","216","21","炭素・黒鉛製品製造業"
"119","217","21","研磨材・同製品製造業"
"120","218","21","骨材・石工品等製造業"
"121","219","21","その他の窯業・土石製品製造業"
"122","221","22","製鉄業"
"123","222","22","製鋼・製鋼圧延業"
"124","223","22","製鋼を行わない鋼材製造業（表面処理鋼材を除く）"
"125","224","22","表面処理鋼材製造業"
"126","225","22","鉄素形材製造業"
"127","229","22","その他の鉄鋼業"
"128","231","23","非鉄金属第１次製錬・精製業"
"129","232","23","非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）"
"130","233","23","非鉄金属・同合金圧延業（抽伸，押出しを含む）"
"131","234","23","電線・ケーブル製造業"
"132","235","23","非鉄金属素形材製造業"
"133","239","23","その他の非鉄金属製造業"
"134","241","24","ブリキ缶・その他のめっき板等製品製造業"
"135","242","24","洋食器・刃物・手道具・金物類製造業"
"136","243","24","暖房装置・配管工事用附属品製造業"
"137","244","24","建設用・建築用金属製品製造業（製缶板金業を含む)"
"138","245","24","金属素形材製品製造業"
"139","246","24","金属被覆・彫刻業，熱処理業（ほうろう鉄器を除く）"
"140","247","24","金属線製品製造業（ねじ類を除く)"
"141","248","24","ボルト・ナット・リベット・小ねじ・木ねじ等製造業"
"142","249","24","その他の金属製品製造業"
"143","251","25","ボイラ・原動機製造業"
"144","252","25","ポンプ・圧縮機器製造業"
"145","253","25","一般産業用機械・装置製造業"
"146","259","25","その他のはん用機械・同部分品製造業"
"147","261","26","農業用機械製造業（農業用器具を除く）"
"148","262","26","建設機械・鉱山機械製造業"
"149","263","26","繊維機械製造業"
"150","264","26","生活関連産業用機械製造業"
"151","265","26","基礎素材産業用機械製造業"
"152","266","26","金属加工機械製造業"
"153","267","26","半導体・フラットパネルディスプレイ製造装置製造業"
"154","269","26","その他の生産用機械・同部分品製造業"
"155","271","27","事務用機械器具製造業"
"156","272","27","サービス用・娯楽用機械器具製造業"
"157","273","27","計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業"
"158","274","27","医療用機械器具・医療用品製造業"
"159","275","27","光学機械器具・レンズ製造業"
"160","276","27","武器製造業"
"161","281","28","電子デバイス製造業"
"162","282","28","電子部品製造業"
"163","283","28","記録メディア製造業"
"164","284","28","電子回路製造業"
"165","285","28","ユニット部品製造業"
"166","289","28","その他の電子部品・デバイス・電子回路製造業"
"167","291","29","発電用・送電用・配電用電気機械器具製造業"
"168","292","29","産業用電気機械器具製造業"
"169","293","29","民生用電気機械器具製造業"
"170","294","29","電球・電気照明器具製造業"
"171","295","29","電池製造業"
"172","296","29","電子応用装置製造業"
"173","297","29","電気計測器製造業"
"174","299","29","その他の電気機械器具製造業"
"175","301","30","通信機械器具・同関連機械器具製造業"
"176","302","30","映像・音響機械器具製造業"
"177","303","30","電子計算機・同附属装置製造業"
"178","311","31","自動車・同附属品製造業"
"179","312","31","鉄道車両・同部分品製造業"
"180","313","31","船舶製造・修理業，舶用機関製造業"
"181","314","31","航空機・同附属品製造業"
"182","315","31","産業用運搬車両・同部分品・附属品製造業"
"183","319","31","その他の輸送用機械器具製造業"
"184","321","32","貴金属・宝石製品製造業"
"185","322","32","装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）"
"186","323","32","時計・同部分品製造業"
"187","324","32","楽器製造業"
"188","325","32","がん具・運動用具製造業"
"189","326","32","ペン・鉛筆・絵画用品・その他の事務用品製造業"
"190","327","32","漆器製造業"
"191","328","32","畳等生活雑貨製品製造業"
"192","329","32","他に分類されない製造業"
"193","331","33","電気業"
"194","341","34","ガス業"
"195","351","35","熱供給業"
"196","361","36","上水道業"
"197","362","36","工業用水道業"
"198","363","36","下水道業"
"199","371","37","固定電気通信業"
"200","372","37","移動電気通信業"
"201","373","37","電気通信に附帯するサービス業"
"202","381","38","公共放送業（有線放送業を除く）"
"203","382","38","民間放送業（有線放送業を除く）"
"204","383","38","有線放送業"
"205","391","39","ソフトウェア業"
"206","392","39","情報処理・提供サービス業"
"207","401","40","インターネット附随サービス業"
"208","411","41","映像情報制作・配給業"
"209","412","41","音声情報制作業"
"210","413","41","新聞業"
"211","414","41","出版業"
"212","415","41","広告制作業"
"213","416","41","映像・音声・文字情報制作に附帯するサービス業"
"214","421","42","鉄道業"
"215","431","43","一般乗合旅客自動車運送業"
"216","432","43","一般乗用旅客自動車運送業"
"217","433","43","一般貸切旅客自動車運送業"
"218","439","43","その他の道路旅客運送業"
"219","441","44","一般貨物自動車運送業"
"220","442","44","特定貨物自動車運送業"
"221","443","44","貨物軽自動車運送業"
"222","444","44","集配利用運送業"
"223","449","44","その他の道路貨物運送業"
"224","451","45","外航海運業"
"225","452","45","沿海海運業"
"226","453","45","内陸水運業"
"227","454","45","船舶貸渡業"
"228","461","46","航空運送業"
"229","462","46","航空機使用業（航空運送業を除く）"
"230","471","47","倉庫業（冷蔵倉庫業を除く）"
"231","472","47","冷蔵倉庫業"
"232","481","48","港湾運送業"
"233","482","48","貨物運送取扱業（集配利用運送業を除く）"
"234","483","48","運送代理店"
"235","484","48","こん包業"
"236","485","48","運輸施設提供業"
"237","489","48","その他の運輸に附帯するサービス業"
"238","491","49","郵便業（信書便事業を含む）"
"239","501","50","各種商品卸売業"
"240","511","51","繊維品卸売業（衣服，身の回り品を除く）"
"241","512","51","衣服卸売業"
"242","513","51","身の回り品卸売業"
"243","521","52","農畜産物・水産物卸売業"
"244","522","52","食料・飲料卸売業"
"245","531","53","建築材料卸売業"
"246","532","53","化学製品卸売業"
"247","533","53","石油・鉱物卸売業"
"248","534","53","鉄鋼製品卸売業"
"249","535","53","非鉄金属卸売業"
"250","536","53","再生資源卸売業"
"251","541","54","産業機械器具卸売業"
"252","542","54","自動車卸売業"
"253","543","54","電気機械器具卸売業"
"254","549","54","その他の機械器具卸売業"
"255","551","55","家具・建具・じゅう器等卸売業"
"256","552","55","医薬品・化粧品等卸売業"
"257","553","55","紙・紙製品卸売業"
"258","559","55","他に分類されない卸売業"
"259","561","56","百貨店，総合スーパー"
"260","569","56","その他の各種商品小売業（従業者が常時50人未満のもの）"
"261","571","57","呉服・服地・寝具小売業"
"262","572","57","男子服小売業"
"263","573","57","婦人・子供服小売業"
"264","574","57","靴・履物小売業"
"265","579","57","その他の織物・衣服・身の回り品小売業"
"266","581","58","各種食料品小売業"
"267","582","58","野菜・果実小売業"
"268","583","58","食肉小売業"
"269","584","58","鮮魚小売業"
"270","585","58","酒小売業"
"271","586","58","菓子・パン小売業"
"272","589","58","その他の飲食料品小売業"
"273","591","59","自動車小売業"
"274","592","59","自転車小売業"
"275","593","59","機械器具小売業（自動車，自転車を除く）"
"276","601","60","家具・建具・畳小売業"
"277","602","60","じゅう器小売業"
"278","603","60","医薬品・化粧品小売業"
"279","604","60","農耕用品小売業"
"280","605","60","燃料小売業"
"281","606","60","書籍・文房具小売業"
"282","607","60","スポーツ用品・がん具・娯楽用品・楽器小売業"
"283","608","60","写真機・時計・眼鏡小売業"
"284","609","60","他に分類されない小売業"
"285","611","61","通信販売・訪問販売小売業"
"286","612","61","自動販売機による小売業"
"287","619","61","その他の無店舗小売業"
"288","621","62","中央銀行"
"289","622","62","銀行（中央銀行を除く）"
"290","631","63","中小企業等金融業"
"291","632","63","農林水産金融業"
"292","641","64","貸金業"
"293","642","64","質屋"
"294","643","64","クレジットカード業，割賦金融業"
"295","649","64","その他の非預金信用機関"
"296","651","65","金融商品取引業"
"297","652","65","商品先物取引業，商品投資業"
"298","661","66","補助的金融業，金融附帯業"
"299","662","66","信託業"
"300","663","66","金融代理業"
"301","671","67","生命保険業"
